varname,var label,% missing,unique values,mean,min,max
Q18A,Q18a. Media free to publish vs government control,0.0,4,,,
Q18B,Q18b. Media checks government vs avoid negative reporting,0.0,4,,,
Q19,Q19. Govt gets things done vs govt accountable to citizens,0.0,4,,,
Q20,Q20. Elected officials follow voter demands vs follow own ideas,0.0,3,,,
Q21A,Q21a. Reject one-party rule,0.0,6,,,
Q21B,Q21b. Reject military rule,0.0,6,,,
Q21C,Q21c. Reject one-man rule,0.0,7,,,
Q22,Q22. Support for democracy,0.0,4,,,
Q23,Q23. Choose leaders through elections vs other methods,0.0,3,,,
Q24,Q24. Political parties divisive vs many parties needed,0.0,5,,,
Q25,Q25. Democracy needs political party turnover vs ok if one party always wins,0.0,5,,,
Q26A,Q26a. Parliament makes laws vs president does,0.0,5,,,
Q26B,Q26b. President monitored by parliament vs free to act on own,0.0,3,,,
Q27,Q27. Opposition parties examine government vs cooperate,0.0,4,,,
Q28,Q28. President free to act vs obey the laws and courts,0.0,5,,,
Q29,Q29. Presidential two term limit vs no term limits,0.0,5,,,
Q30,Q30. Death penalty is fair punishment vs never justified,0.0,4,,,
Q31A,Q31a. Armed forces never intervene vs when leaders abuse power,0.0,5,,,
Q31B,Q31b. Military intervention and restoration of civilian rule,0.0,6,,,
Q32,Q32. Extent of democracy,0.0,7,,,
Q33,Q33. Satisfaction with democracy,0.0,7,,,
Q34A,Q34a. How often president ignores laws,0.0,6,,,
Q34B,Q34b. How often president ignores parliament,0.0,6,,,
Q34C,Q34c. How often judges/magistrates prioritize political influence over law,0.0,6,,,
Q34D,Q34d. How often people treated unequally under law,0.0,5,,,
Q34E,Q34e. How often officials unpunished,0.0,6,,,
Q34F,Q34f. How often ordinary people unpunished,0.0,5,,,
Q35,Q35. How free is news media,0.0,6,,,
Q36A,Q36a. MPs listen,0.0,5,,,
Q36B,Q36b. Local government councillors listen,0.0,5,,,
Q37A,Q37a. Trust president,0.0,6,,,
Q37B,Q37b. Trust parliament/national assembly,0.0,6,,,
Q37C,Q37c. Trust national electoral commission,0.0,6,,,
Q37D,Q37d. Trust your elected local government council,0.0,5,,,
Q37E,Q37e. Trust the ruling party,0.0,6,,,
Q37F,Q37f. Trust opposition political parties,0.0,6,,,
Q37G,Q37g. Trust police,0.0,5,,,
Q37H,Q37h. Trust army,0.0,6,,,
Q37I,Q37i. Trust courts of law,0.0,6,,,
Q37J,Q37j. Trust Ministry of Health or public health agency,0.0,6,,,
Q37K,Q37k. Trust traditional leaders,0.0,6,,,
Q37L,Q37l. Trust religious leaders,0.0,5,,,
Q37M,Q37m. Trust non-governmental organisations or civil society organisations,0.0,5,,,
Q37N_ZIM,Q37n-zim. Trust Reserve Bank of Zimbabwe,0.0,5,,,
Q38A,Q38a. Corruption: office of the Presidency,0.0,6,,,
Q38B,Q38b. Corruption: Members of Parliament,0.0,6,,,
Q38C,Q38c. Corruption: Civil servants,0.0,6,,,
Q38D,Q38d. Corruption: local government councillors,0.0,6,,,
Q38E,Q38e. Corruption: Police,0.0,6,,,
Q38F,Q38f. Corruption: Judges and Magistrates,0.0,6,,,
Q38G,Q38g. Corruption: Tax officials,0.0,6,,,
Q38H,Q38h. Corruption: traditional leaders,0.0,6,,,
Q38I,Q38i. Corruption: religious leaders,0.0,6,,,
Q38J,Q38j. Corruption: business executives,0.0,6,,,
Q38K,Q38k. Corruption: non-governmental organizations or civil society organizations,0.0,6,,,
Q39A,Q39a. Level of corruption,0.0,6,,,
Q39B,Q39b. Ordinary people can report corruption without fear,0.0,4,,,
Q40A,Q40a. Contact with public clinic or hospital,0.0,2,,,
Q40B,Q40b. Difficulty to obtain medical care,0.0,6,,,
Q40C,Q40c. Pay bribe for medical care,0.0,5,,,
Q40D,Q40d. Problems with public clinic: lack of medicine/supplies,0.0,7,,,
Q40E,Q40e. Problems with public clinic: absence of medical personnel,0.0,6,,,
Q40F,Q40f. Problems with public clinic: long waiting time,0.0,6,,,
Q40G,Q40g. Problems with public clinic: poor condition of facilities,0.0,6,,,
Q40H,Q40h. Problems with public clinic: high cost impact on care,0.0,6,,,
Q41A,Q41a. Have medical aid coverage,0.0,3,,,
Q41B,Q41b. Type of medical aid coverage,0.0,7,,,
Q41C,Q41c. Satisfaction with medical aid,0.0,5,,,
Q41D,Q41d. Reason for no medical aid coverage,0.0,11,,,
Q42A,Q42a. Worry about affording medical care,0.0,4,,,
Q42B,Q42b. Government should ensure healthcare for all even if more taxes,0.0,6,,,
Q43,Q43. Parents mandated to vaccinate children vs personal choice,0.0,4,,,
Q44A,Q44a. Tried to obtain identity document,0.0,2,,,
Q44B,Q44b. Difficulty to obtain identity document,0.0,5,,,
Q44C,Q44c. Pay bribe for identity document,0.0,5,,,
Q45A,Q45a. Requested assistance from the police,0.0,2,,,
Q45B,Q45b. Difficulty to obtain police assistance,0.0,5,,,
Q45C,Q45c. Pay bribe to receive police assistance,0.0,5,,,
Q45D,Q45d. Contact with police in other situations,0.0,4,,,
Q45E,Q45e. Pay bribe to avoid problem with police,0.0,5,,,
Q46PT1OTHER,Q46pt1other. MIP - 1st response (verbatim other),0.0,2,,,
Q46PT1,Q46pt1. Most important problems - 1st response,0.0,34,,,
Q46PT2OTHER,Q46pt2other. MIP - 2nd response (verbatim other),0.0,2,,,
Q46PT2,Q46pt2. Most important problems - 2nd response,0.0,32,,,
Q46PT3OTHER,Q46pt3other. MIP - 3rd response (verbatim other),0.0,1,,,
Q46PT3,Q46pt3. Most important problems - 3rd response,0.0,31,,,
Q47A,Q47a. Handling managing the economy,0.0,5,,,
Q47B,Q47b. Handling improving living standards of the poor,0.0,5,,,
Q47C,Q47c. Handling creating jobs,0.0,5,,,
Q47D,Q47d. Handling keeping prices stable,0.0,5,,,
Q47E,Q47e. Handling narrowing income gaps,0.0,5,,,
Q47F,Q47f. Handling reducing crime,0.0,5,,,
Q47G,Q47g. Handling improving basic health services,0.0,6,,,
Q47H,Q47h. Handling addressing educational needs,0.0,5,,,
Q47I,Q47i. Handling providing water and sanitation services,0.0,6,,,
Q47J,Q47j. Handling fighting corruption,0.0,6,,,
Q47K,Q47k. Handling maintaining roads and bridges,0.0,5,,,
Q47L,Q47l. Handling providing a reliable supply of electricity,0.0,6,,,
Q47M,Q47m. Handling preventing or resolving violent conflict,0.0,5,,,
Q48A,Q48a. Performance: President,0.0,6,,,
Q48B,Q48b. Performance: MP/National Assembly rep,0.0,5,,,
Q48C,Q48c. Performance: local government councillor,0.0,6,,,
Q49A,Q49a. Community leaders effective in promoting young leaders,0.0,7,,,
Q49B,Q49b. Men have more right to job,0.0,6,,,
Q50,Q50. Priorities for investment in youth programs,0.0,7,,,
Q51,Q51. Men only as leaders vs women leaders,0.0,4,,,
Q52A,Q52a. Girls miss school because boys' education prioritized,0.0,5,,,
Q52B,"Q52b. Girl students face discrimination, harassment",0.0,6,,,
Q52C,Q53c. Women face harassement in public places,0.0,5,,,
Q52D,Q52d. Women prevented from paid employment by family,0.0,5,,,
Q53A,Q53a. Police/courts do enough to protect women/girls,0.0,4,,,
Q53B,Q53b. People believe women/girls' complaints,0.0,5,,,
Q54,Q54. Preferred resolution source for legal problems,0.0,16,,,
Q54Other,Q54other. Preferred resolution source for legal problems (verbatim),0.0,5,,,
Q55A,Q55a. Access to legal support,0.0,5,,,
Q55B,Q55b. Affordability of legal support,0.0,5,,,
Q55C,Q55c. Affordability of court case,0.0,5,,,
Q55D,Q55d. Court case: Timeliness of resolution,0.0,5,,,
Q55E,Q55e. Court case: Fairness of  resolution,0.0,5,,,
Q56,Q56. Awareness of legal aid services,0.0,3,,,
Q57A,Q57a. Confidence in obtaining justice,0.0,5,,,
Q57B,Q57b. Severity of penalties for crimes by ordinary people,0.0,5,,,
Q58,Q58. Severity of penalties for crimes by powerful people,0.0,5,,,
Q59A,Q59a. Severity of droughts,0.0,6,,,
Q59B,Q59b. Severity of flooding,0.0,6,,,
Q59C,Q59c. Severity of crop failure,0.0,6,,,
Q60A,Q60a. Heard about climate change,0.0,3,,,
Q60B,Q60b. Climate change: affecting country,0.0,7,,,
Q61A,Q61a. Climate change: main cause,0.0,7,,,
Q61B,Q61b. Main responsibility for causing climate change,0.0,5,,,
Q62A,Q62a. Government must act now to limit climate change,0.0,7,,,
Q62B,Q62b. Rich countries must act now to limit climate change,0.0,7,,,
Q62C,Q62c. Rich countries should contribute to climate adaptation costs,0.0,7,,,
Q62D,Q62d. Who primarily responsible for limiting climate change,0.0,9,,,
Q63A,Q63a. Ban tree cutting for firewood/charcoal even if fuel more costly,0.0,6,,,
Q63B,Q63b. Require cleaner fuel cookstoves even if more costly,0.0,6,,,
Q63C,Q63c. Invest in infrastructure for climate resilience,0.0,6,,,
Q63D,Q63d. Pressure rich countries to provide climate change aid,0.0,6,,,
Q63E_ZIM,Q63e-zim. Promote electric taxis/buses even if more costly,0.0,1,,,
Q63F_ZIM,Q63f-zim. Invest in wind/solar energy even if more costly,0.0,6,,,
Q64A,Q64a. Climate change adaptation: change water consumption,0.0,3,,,
Q64B,Q64b. Climate change adaptation: change outdoor work,0.0,3,,,
Q64C,Q64c. Climate change adaptation: move to another place,0.0,3,,,
Q64D,Q64d. Climate change adaptation: change livestock rearing,0.0,3,,,
Q64E,Q64e. Climate change adaptation: change crops or food,0.0,4,,,
Q65A,Q65a. Radio news,0.0,5,,,
Q65B,Q65b. Television news,0.0,5,,,
Q65C,Q65c. Newspaper news,0.0,5,,,
Q65D,Q65d. Social media news,0.0,5,,,
Q65E,Q65e. Other internet news sources,0.0,5,,,
Q66,Q66. China's influence on economy,0.0,5,,,
Q67A,Q67a. Influence of country: Former colonial power,0.0,6,,,
Q67B,Q67b. Influence of country: China,0.0,6,,,
Q67C,Q67c. Influence of country: United States,0.0,6,,,
Q67D,Q67d. Influence of country: Russia,0.0,7,,,
Q67E,Q67e. Influence of country: India,0.0,7,,,
Q67F,Q67f. Influence of organization: African Union,0.0,6,,,
Q67G,Q67g. Influence of organization: Regional organisation,0.0,6,,,
Q67H,Q67h. Influence of organization: European Union,0.0,6,,,
Q68,Q68. Main country/organization contributing to mitigation of COVID-19,0.0,10,,,
Q69A,Q69a. Awareness of Russia-Ukraine war,0.0,3,,,
Q69B,Q69b. Support which side in Russia-Ukraine war,0.0,6,,,
Q70A,Q70a. Regional organisation recognizes our country's needs/interests,0.0,7,,,
Q70B,Q70b. African Union recognizes our country's needs/interests,0.0,6,,,
Q70C,Q70c. African countries should have greater influence in international bodies,0.0,7,,,
Q71A,Q71a. Considered emigration to other country,0.0,4,,,
Q71B,Q71b. Most likely country for emigration,0.0,12,,,
Q72,Q72. Most important reason for emigrating,0.0,16,,,
Q72Other,Q72other. Most important reason for emigrating (verbatim),0.0,1,,,
Q73A,Q73a. Economic impact of foreign migrants,0.0,6,,,
Q73B,Q73b. Admit more or fewer job seekers,0.0,5,,,
Q73C,Q73c. Admit more or fewer refugees,0.0,5,,,
Q73D,Q73d. Difficulty to move across borders,0.0,5,,,
Q74,Q74. Awareness of AfCFTA,0.0,3,,,
Q75,Q75. Preferred trading partners,0.0,6,,,
Q76A,Q76a. Promoting trade vs protecting local producers,0.0,4,,,
Q76B,Q76b. Allow free movement in region vs limit cross-border movement,0.0,4,,,
Q77_ZIM,Q77-zim. State of opposition political parties,0.0,6,,,
Q78A_ZIM,Q78a-zim. Opinion on scrapping ‘recall clause’,0.0,6,,,
Q78B_ZIM,Q78b-zim. Voter registration responsibility change,0.0,7,,,
Q79A_ZIM,Q79a-zim. Awareness of new ZiG currency,0.0,3,,,
Q79B_ZIM,Q79b-zim. Confidence in ZiG currency solving economic problems,0.0,6,,,
Q80A_ZIM,Q80a-zim. Perception of drug abuse extent,0.0,5,,,
Q80B_ZIM,Q80b-zim. Effective strategy for drug abuse,0.0,6,,,
Q81A_ZIM,Q81a-zim. Trust in the Police to combat drug abuse,0.0,5,,,
Q81B_ZIM,Q81b-zim. Trust in Judges and magistrates to combat drug abuse,0.0,5,,,
Q81C_ZIM,Q81c-zim. Trust in Prison Officers to combat drug abuse,0.0,6,,,
Q81D_ZIM,Q81d-zim. Trust in Religious leaders to combat drug abuse,0.0,5,,,
Q81E_ZIM,Q81e-zim. Trust in Traditional leaders to combat drug abuse,0.0,5,,,
Q81F_ZIM,Q81f-zim. Trust in Schools to combat drug abuse,0.0,6,,,
Q81G_ZIM,Q81g-zim. Trust in Family members to combat drug abuse,0.0,5,,,
Q81H_ZIM,Q81h-zim. Ordinary Zimbabweans’ role in drug abuse fight,0.0,6,,,
Q82,Q82. Respondent's race,0.0,1,,,
Q82Other,Q82other. Respondent's race (verbatim),0.0,1,,,
Q83A,"Q83a. Ethnic community, cultural group or tribe",0.0,12,,,
Q83AOther,"Q83aother. Ethnic community, cultural group or tribe (verbatim)",0.0,21,,,
Q83B,Q83b. Ethnic group treated unfairly by government,0.0,7,,,
Q83C,Q83c. Ethnic or national identity,0.0,7,,,
Q84,Q84. Frequency of pregnancy termination in your community,0.0,6,,,
Q85A,Q85a. Justify pregnancy termination due to rape or close relative,0.0,4,,,
Q85B,Q85b. Justify pregnancy termination due to health endangerment,0.0,4,,,
Q85C,Q85c. Justify pregnancy termination due to economic hardships,0.0,5,,,
Q85D,Q85d. Justify preganancy termination for any reason,0.0,4,,,
Q86A,Q86a. Accessibility of contraceptives regardless of marital status,0.0,5,,,
Q86B,Q86b. Accessibility of contraceptives regardless of age,0.0,5,,,
Q86C,Q86c. Continue girls education even if pregnancy or children,0.0,6,,,
Q86D,Q86d. Teach sex education in schools,0.0,7,,,
Q86E,Q86e. Women's autonomy in marriage decisions,0.0,5,,,
Q86F,Q86f. Women's autonomy in reproductive decisions,0.0,6,,,
Q87A,Q87a. Trust relatives,0.0,5,,,
Q87B,Q87b. Trust neighbours,0.0,4,,,
Q87C,Q87c. Trust other citizens,0.0,5,,,
Q87D,Q87d. Trust people from other religions,0.0,5,,,
Q87E,Q87e. Trust people from other ethnic groups,0.0,5,,,
Q88A,Q88a. Neighbours: people of different religion,0.0,5,,,
Q88B,Q88b. Neighbours: people of different ethnicity,0.0,5,,,
Q88C,Q88c. Neighbours: homosexuals,0.0,6,,,
Q88D,Q88d. Neighbours: immigrants and foreign workers,0.0,5,,,
Q88E,Q88e. Neighbours: people who support a different political party,0.0,6,,,
Q88F,Q88f. Neighbours: refugees fleeing persecution,0.0,6,,,
Q89A,Q89a. Close to political party,0.0,4,,,
Q89B,Q89b. Which party,0.0,8,,,
Q89BOther,Q89bother. Which party (verbatim),0.0,2,,,
Q90A,Q90a. Own radio,0.0,4,,,
Q90B,Q90b. Own television,0.0,4,,,
Q90C,"Q90c. Own motor vehicle, car or motorcycle",0.0,4,,,
Q90D,Q90d. Own computer,0.0,4,,,
Q90E,Q90e. Own bank account,0.0,4,,,
Q90F,Q90f. Own mobile phone,0.0,3,,,
Q90G,Q90g. Own mobile money account,0.0,4,,,
Q90H,Q90h. Mobile phone access to internet,0.0,4,,,
Q90I,Q90i. How often use a mobile phone,0.0,5,,,
Q90J,Q90j. How often use the internet,0.0,6,,,
Q91A,Q91a. Location of toilet or latrine,0.0,4,,,
Q91B,Q91b. Location of main water source,0.0,4,,,
Q92,Q92. Source of water for household use,0.0,10,,,
Q92Other,Q92other. Source of water for household use (verbatim),0.0,3,,,
Q93A,Q93a. Electric connection from mains,0.0,2,,,
Q93B,Q93b. Electricity available from mains,0.0,6,,,
Q93C,Q93c. Other source of electricity: available,0.0,2,,,
Q93D,Q93d. Other source of electricity: type,0.0,7,,,
Q93DOther,Q93dother. Other source of electricity: type (verbatim),0.0,1,,,
Q94A,Q94a. Employment status,0.0,4,,,
Q94B,Q94b. Occupation of respondent,0.0,16,,,
Q94BOther,Q94bother. Occupation of respondent (verbatim),0.0,2,,,
Q94C,Q94c. Preferred job sector,0.0,5,,,
Q94D,Q94d. Main barrier to youth employment,0.0,8,,,
Q94E,Q94e. Main barrier to women's employment,0.0,8,,,
Q95,Q95. Who decides how money is used,0.0,7,,,
Q96,Q96. Education of respondent,0.0,10,,,
Q97,Q97. Religion of respondent,0.0,23,,,
Q97Other,Q97other. Religion of respondent (verbatim),0.0,1,,,
Q98,Q98. Vote for which party,0.0,9,,,
Q98Other,Q98other. Vote for which party (verbatim),0.0,6,,,
Q99,Q99. Perceived survey sponsor,0.0,14,,,
Q99Other,Q99other. Perceived survey sponsor (verbatim),0.0,2,,,
Q100,Q100. Willing to participate in follow-up surveys,0.0,3,,,
ENDTIME,Time interview ended,0.0,1200,,,
LENGTH,Length of interview,0.0,1200,67.55,42.501,119.0
LENGTH_INT,Interview length calculated excluding break,0.0,2,,,
Q101,Q101. Respondent's gender,0.0,2,,,
Q102,Q102. Language of interview,0.0,3,,,
Q102Other,Q102other. Language of interview (verbatim),0.0,1,,,
Q103,Q103. Others present,0.0,5,,,
Q104A,Q104a. Check with others,0.0,2,,,
Q104B,Q104b. Influence by others,0.0,2,,,
Q104C,Q104c. Approached by community/party representatives,0.0,2,,,
Q104D,Q104d. Feel threatened,0.0,2,,,
Q104E,Q104e. Physically threatened,0.0,2,,,
Q106A,Q106a. Respondent friendly,0.0,3,,,
Q106B,Q106b. Respondent interested,0.0,3,,,
Q106C,Q106c. Respondent cooperative,0.0,3,,,
Q106D,Q106d. Respondent patient,0.0,3,,,
Q106E,Q106e. Respondent at ease,0.0,3,,,
Q106F,Q106f. Respondent honest,0.0,3,,,
Q108,Q108. Interviewer Number,0.0,24,,,
Q109,Q109. Interviewer’s age,0.0,15,36.642,27.0,52.0
Q110,Q110. Interviewer’s gender,0.0,2,,,
Q111,Q111. Interviewer’s race,0.0,1,,,
Q111OTHER,Q111Other. Interviewer’s race (verbatim),0.0,1,,,
Q112,Q112. Interviewer's home language,0.0,5,,,
Q112OTHER,Q112Other. Interviewer's home language (verbatim),0.0,1,,,
Q113,Q113. Interviewer's ethnic group or tribe,0.0,7,,,
Q113OTHER,Q113Other. Interviewer's ethnic group or tribe (verbatim),0.0,1,,,
Q114,Q114. Interviewer's education,0.0,3,,,
Q115_1,Q115. Other spoken languages_first,0.0,2,,,
Q115_2,Q115. Other spoken languages_second,0.0,3,,,
Q115_3,Q115. Other spoken languages_third,0.0,6,,,
Q115_4,Q115. Other spoken languages_fourth,0.0,5,,,
Q115_5,Q115. Other spoken languages_fifth,0.0,4,,,
Q115_6,Q115. Other spoken languages_sixth,0.0,2,,,
Q115_7,Q115. Other spoken languages_seventh,0.0,1,,,
Q115_8,Q115. Other spoken languages_eighth,0.0,1,,,
Q115OTHER,Q115Other. Other spoken languages (verbatim),0.0,1,,,
withinwt_ea,"within country weighting factor, weights to EA level (""old AB withinwt"")",0.0,143,1.0,0.549,1.784
withinwt_hh,"within country weighting factor, weights to HH level (""new AB withinwt"")",0.0,596,1.0,0.209,3.488
